---------------------------------------------------------------------------------------------------
Date: 8/26/2026 -- 23:53:37 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 12332
capture.afpacket.polls                                       | Total                     | 19309
capture.afpacket.poll_timeout                                | Total                     | 18205
capture.afpacket.poll_data                                   | Total                     | 1104
decoder.pkts                                                 | Total                     | 12322
decoder.bytes                                                | Total                     | 8655181
decoder.ipv4                                                 | Total                     | 12292
decoder.ipv6                                                 | Total                     | 30
decoder.ethernet                                             | Total                     | 12322
decoder.tcp                                                  | Total                     | 12318
tcp.syn                                                      | Total                     | 697
tcp.synack                                                   | Total                     | 684
tcp.rst                                                      | Total                     | 31
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 702
decoder.max_pkt_size                                         | Total                     | 32834
tcp.active_sessions                                          | Total                     | 2
flow.total                                                   | Total                     | 715
flow.active                                                  | Total                     | 306
flow.tcp                                                     | Total                     | 713
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
flow.wrk.flows_evicted                                       | Total                     | 1
tcp.sessions                                                 | Total                     | 25
tcp.ssn_from_pool                                            | Total                     | 25
tcp.invalid_checksum                                         | Total                     | 5899
flow.end.state.new                                           | Total                     | 409
flow.end.tcp_state.syn_sent                                  | Total                     | 23
flow.mgr.full_hash_pass                                      | Total                     | 17
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10504
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 1130
flow.mgr.flows_notimeout                                     | Total                     | 722
flow.mgr.flows_timeout                                       | Total                     | 408
flow.mgr.flows_evicted                                       | Total                     | 408
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 408
flow.recycler.queue_avg                                      | Total                     | 2
flow.recycler.queue_max                                      | Total                     | 9
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9817056
---------------------------------------------------------------------------------------------------
Date: 8/26/2026 -- 23:56:17 (uptime: 0d, 00h 02m 48s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 12479
capture.afpacket.polls                                       | Total                     | 20022
capture.afpacket.poll_timeout                                | Total                     | 18902
capture.afpacket.poll_data                                   | Total                     | 1120
decoder.pkts                                                 | Total                     | 12478
decoder.bytes                                                | Total                     | 8698116
decoder.ipv4                                                 | Total                     | 12448
decoder.ipv6                                                 | Total                     | 30
decoder.ethernet                                             | Total                     | 12478
decoder.tcp                                                  | Total                     | 12474
tcp.syn                                                      | Total                     | 697
tcp.synack                                                   | Total                     | 684
tcp.rst                                                      | Total                     | 31
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 697
decoder.max_pkt_size                                         | Total                     | 32834
tcp.active_sessions                                          | Total                     | 2
flow.total                                                   | Total                     | 715
flow.active                                                  | Total                     | 283
flow.tcp                                                     | Total                     | 713
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
flow.wrk.flows_evicted                                       | Total                     | 1
tcp.sessions                                                 | Total                     | 25
tcp.ssn_from_pool                                            | Total                     | 25
tcp.invalid_checksum                                         | Total                     | 5969
flow.end.state.new                                           | Total                     | 432
flow.end.tcp_state.syn_sent                                  | Total                     | 23
flow.mgr.full_hash_pass                                      | Total                     | 18
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10527
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 1185
flow.mgr.flows_notimeout                                     | Total                     | 754
flow.mgr.flows_timeout                                       | Total                     | 431
flow.mgr.flows_evicted                                       | Total                     | 431
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 431
flow.recycler.queue_avg                                      | Total                     | 2
flow.recycler.queue_max                                      | Total                     | 9
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9817056
---------------------------------------------------------------------------------------------------
Date: 8/26/2026 -- 23:56:25 (uptime: 0d, 00h 02m 56s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 13125
capture.afpacket.polls                                       | Total                     | 21108
capture.afpacket.poll_timeout                                | Total                     | 19928
capture.afpacket.poll_data                                   | Total                     | 1180
decoder.pkts                                                 | Total                     | 13124
decoder.bytes                                                | Total                     | 8910761
decoder.ipv4                                                 | Total                     | 13094
decoder.ipv6                                                 | Total                     | 30
decoder.ethernet                                             | Total                     | 13124
decoder.tcp                                                  | Total                     | 13120
tcp.syn                                                      | Total                     | 740
tcp.synack                                                   | Total                     | 727
tcp.rst                                                      | Total                     | 32
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 678
decoder.max_pkt_size                                         | Total                     | 32834
tcp.active_sessions                                          | Total                     | 2
flow.total                                                   | Total                     | 758
flow.active                                                  | Total                     | 287
flow.tcp                                                     | Total                     | 756
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
flow.wrk.flows_evicted                                       | Total                     | 1
tcp.sessions                                                 | Total                     | 26
tcp.ssn_from_pool                                            | Total                     | 26
tcp.invalid_checksum                                         | Total                     | 6272
flow.end.state.new                                           | Total                     | 471
flow.end.tcp_state.syn_sent                                  | Total                     | 24
flow.mgr.full_hash_pass                                      | Total                     | 19
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10565
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 1260
flow.mgr.flows_notimeout                                     | Total                     | 790
flow.mgr.flows_timeout                                       | Total                     | 470
flow.mgr.flows_evicted                                       | Total                     | 470
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 470
flow.recycler.queue_avg                                      | Total                     | 2
flow.recycler.queue_max                                      | Total                     | 9
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9817056
---------------------------------------------------------------------------------------------------
Date: 8/26/2026 -- 23:56:33 (uptime: 0d, 00h 03m 04s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 13850
capture.afpacket.polls                                       | Total                     | 22199
capture.afpacket.poll_timeout                                | Total                     | 20964
capture.afpacket.poll_data                                   | Total                     | 1235
decoder.pkts                                                 | Total                     | 13849
decoder.bytes                                                | Total                     | 9138049
decoder.ipv4                                                 | Total                     | 13819
decoder.ipv6                                                 | Total                     | 30
decoder.ethernet                                             | Total                     | 13849
decoder.tcp                                                  | Total                     | 13845
tcp.syn                                                      | Total                     | 788
tcp.synack                                                   | Total                     | 775
tcp.rst                                                      | Total                     | 32
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 659
decoder.max_pkt_size                                         | Total                     | 32834
tcp.active_sessions                                          | Total                     | 2
flow.total                                                   | Total                     | 806
flow.active                                                  | Total                     | 291
flow.tcp                                                     | Total                     | 804
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
flow.wrk.flows_evicted                                       | Total                     | 1
tcp.sessions                                                 | Total                     | 26
tcp.ssn_from_pool                                            | Total                     | 26
tcp.invalid_checksum                                         | Total                     | 6619
flow.end.state.new                                           | Total                     | 515
flow.end.tcp_state.syn_sent                                  | Total                     | 24
flow.mgr.full_hash_pass                                      | Total                     | 20
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10607
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 1346
flow.mgr.flows_notimeout                                     | Total                     | 832
flow.mgr.flows_timeout                                       | Total                     | 514
flow.mgr.flows_evicted                                       | Total                     | 514
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 514
flow.recycler.queue_avg                                      | Total                     | 2
flow.recycler.queue_max                                      | Total                     | 9
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9817056
---------------------------------------------------------------------------------------------------
Date: 8/26/2026 -- 23:56:41 (uptime: 0d, 00h 03m 12s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 14262
capture.afpacket.polls                                       | Total                     | 22921
capture.afpacket.poll_timeout                                | Total                     | 21657
capture.afpacket.poll_data                                   | Total                     | 1264
decoder.pkts                                                 | Total                     | 14261
decoder.bytes                                                | Total                     | 9266192
decoder.ipv4                                                 | Total                     | 14231
decoder.ipv6                                                 | Total                     | 30
decoder.ethernet                                             | Total                     | 14261
decoder.tcp                                                  | Total                     | 14257
tcp.syn                                                      | Total                     | 827
tcp.synack                                                   | Total                     | 814
tcp.rst                                                      | Total                     | 32
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 649
decoder.max_pkt_size                                         | Total                     | 32834
tcp.active_sessions                                          | Total                     | 2
flow.total                                                   | Total                     | 845
flow.active                                                  | Total                     | 301
flow.tcp                                                     | Total                     | 843
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
flow.wrk.flows_evicted                                       | Total                     | 1
tcp.sessions                                                 | Total                     | 26
tcp.ssn_from_pool                                            | Total                     | 26
tcp.invalid_checksum                                         | Total                     | 6822
flow.end.state.new                                           | Total                     | 544
flow.end.tcp_state.syn_sent                                  | Total                     | 24
flow.mgr.full_hash_pass                                      | Total                     | 20
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10638
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 1400
flow.mgr.flows_notimeout                                     | Total                     | 857
flow.mgr.flows_timeout                                       | Total                     | 543
flow.mgr.flows_evicted                                       | Total                     | 543
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 543
flow.recycler.queue_avg                                      | Total                     | 2
flow.recycler.queue_max                                      | Total                     | 9
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9817056
---------------------------------------------------------------------------------------------------
Date: 8/26/2026 -- 23:56:49 (uptime: 0d, 00h 03m 20s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 14756
capture.afpacket.polls                                       | Total                     | 23996
capture.afpacket.poll_timeout                                | Total                     | 22689
capture.afpacket.poll_data                                   | Total                     | 1307
decoder.pkts                                                 | Total                     | 14742
decoder.bytes                                                | Total                     | 9454397
decoder.ipv4                                                 | Total                     | 14712
decoder.ipv6                                                 | Total                     | 30
decoder.ethernet                                             | Total                     | 14742
decoder.tcp                                                  | Total                     | 14738
tcp.syn                                                      | Total                     | 857
tcp.synack                                                   | Total                     | 844
tcp.rst                                                      | Total                     | 32
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 641
decoder.max_pkt_size                                         | Total                     | 32834
tcp.active_sessions                                          | Total                     | 2
flow.total                                                   | Total                     | 875
flow.active                                                  | Total                     | 298
flow.tcp                                                     | Total                     | 873
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
flow.wrk.flows_evicted                                       | Total                     | 1
tcp.sessions                                                 | Total                     | 26
tcp.ssn_from_pool                                            | Total                     | 26
tcp.invalid_checksum                                         | Total                     | 7037
flow.end.state.new                                           | Total                     | 577
flow.end.tcp_state.syn_sent                                  | Total                     | 24
flow.mgr.full_hash_pass                                      | Total                     | 21
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10674
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 1472
flow.mgr.flows_notimeout                                     | Total                     | 896
flow.mgr.flows_timeout                                       | Total                     | 576
flow.mgr.flows_evicted                                       | Total                     | 576
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 576
flow.recycler.queue_avg                                      | Total                     | 2
flow.recycler.queue_max                                      | Total                     | 9
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9817056
---------------------------------------------------------------------------------------------------
Date: 8/26/2026 -- 23:56:57 (uptime: 0d, 00h 03m 28s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 15053
capture.afpacket.polls                                       | Total                     | 25070
capture.afpacket.poll_timeout                                | Total                     | 23732
capture.afpacket.poll_data                                   | Total                     | 1338
decoder.pkts                                                 | Total                     | 15052
decoder.bytes                                                | Total                     | 9521057
decoder.ipv4                                                 | Total                     | 15022
decoder.ipv6                                                 | Total                     | 30
decoder.ethernet                                             | Total                     | 15052
decoder.tcp                                                  | Total                     | 15048
tcp.syn                                                      | Total                     | 869
tcp.synack                                                   | Total                     | 856
tcp.rst                                                      | Total                     | 32
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 632
decoder.max_pkt_size                                         | Total                     | 32834
tcp.active_sessions                                          | Total                     | 2
flow.total                                                   | Total                     | 887
flow.active                                                  | Total                     | 270
flow.tcp                                                     | Total                     | 885
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
flow.wrk.flows_evicted                                       | Total                     | 1
tcp.sessions                                                 | Total                     | 26
tcp.ssn_from_pool                                            | Total                     | 26
tcp.invalid_checksum                                         | Total                     | 7186
flow.end.state.new                                           | Total                     | 617
flow.end.tcp_state.syn_sent                                  | Total                     | 24
flow.mgr.full_hash_pass                                      | Total                     | 22
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10710
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 1561
flow.mgr.flows_notimeout                                     | Total                     | 945
flow.mgr.flows_timeout                                       | Total                     | 616
flow.mgr.flows_evicted                                       | Total                     | 616
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 616
flow.recycler.queue_avg                                      | Total                     | 2
flow.recycler.queue_max                                      | Total                     | 9
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9817056
---------------------------------------------------------------------------------------------------
Date: 8/26/2026 -- 23:57:05 (uptime: 0d, 00h 03m 36s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 15630
capture.afpacket.polls                                       | Total                     | 25801
capture.afpacket.poll_timeout                                | Total                     | 24417
capture.afpacket.poll_data                                   | Total                     | 1384
decoder.pkts                                                 | Total                     | 15629
decoder.bytes                                                | Total                     | 9692744
decoder.ipv4                                                 | Total                     | 15599
decoder.ipv6                                                 | Total                     | 30
decoder.ethernet                                             | Total                     | 15629
decoder.tcp                                                  | Total                     | 15625
tcp.syn                                                      | Total                     | 908
tcp.synack                                                   | Total                     | 895
tcp.rst                                                      | Total                     | 32
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 620
decoder.max_pkt_size                                         | Total                     | 32834
tcp.active_sessions                                          | Total                     | 2
flow.total                                                   | Total                     | 926
flow.active                                                  | Total                     | 284
flow.tcp                                                     | Total                     | 924
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
flow.wrk.flows_evicted                                       | Total                     | 1
tcp.sessions                                                 | Total                     | 26
tcp.ssn_from_pool                                            | Total                     | 26
tcp.invalid_checksum                                         | Total                     | 7468
flow.end.state.new                                           | Total                     | 642
flow.end.tcp_state.syn_sent                                  | Total                     | 24
flow.mgr.full_hash_pass                                      | Total                     | 23
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10734
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 1609
flow.mgr.flows_notimeout                                     | Total                     | 968
flow.mgr.flows_timeout                                       | Total                     | 641
flow.mgr.flows_evicted                                       | Total                     | 641
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 641
flow.recycler.queue_avg                                      | Total                     | 2
flow.recycler.queue_max                                      | Total                     | 9
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9817056
---------------------------------------------------------------------------------------------------
Date: 8/26/2026 -- 23:57:13 (uptime: 0d, 00h 03m 44s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 16209
capture.afpacket.polls                                       | Total                     | 26885
capture.afpacket.poll_timeout                                | Total                     | 25457
capture.afpacket.poll_data                                   | Total                     | 1428
decoder.pkts                                                 | Total                     | 16208
decoder.bytes                                                | Total                     | 9864575
decoder.ipv4                                                 | Total                     | 16178
decoder.ipv6                                                 | Total                     | 30
decoder.ethernet                                             | Total                     | 16208
decoder.tcp                                                  | Total                     | 16204
tcp.syn                                                      | Total                     | 947
tcp.synack                                                   | Total                     | 934
tcp.rst                                                      | Total                     | 32
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 608
